#{"t_start": 1786999365.003136, "env_id": "None"}
r,l,t
10713.824837,1000,3.516138
11026.468213,1000,5.937977
10474.551176,1000,9.301609
10892.902206,1000,11.790512
11513.712056,1000,14.624143
10552.894419,1000,17.042015
10852.258026,1000,19.692841
11023.54889,1000,22.081481
11642.748941,1000,24.756594
10138.506815,1000,27.063997
11202.682427,1000,29.797096
11497.199291,1000,32.112006
11167.421725,1000,34.841306
11184.436407,1000,37.467628
10879.48758,1000,40.508447
10870.734895,1000,42.903403
10869.201574,1000,45.74745
11244.95777,1000,48.27446
10647.581611,1000,51.090765
11540.215334,1000,53.651883
11184.253901,1000,56.527886
10855.334672,1000,58.877004
11432.557462,1000,61.579082
11416.844042,1000,63.993235
10912.560784,1000,66.720431
11817.556007,1000,69.308817
11951.125917,1000,72.006396
11533.708913,1000,74.384575
10915.806098,1000,77.052085
11042.304238,1000,79.411209
11704.215576,1000,82.070782
10874.554887,1000,84.497302
11041.40968,1000,87.15427
11783.831214,1000,89.495388
11451.085479,1000,92.295565
11552.796284,1000,94.771218
11105.559083,1000,97.52192
11749.179418,1000,99.884131
11749.998057,1000,102.532821
11782.042279,1000,104.835382
11820.103095,1000,107.579316
11657.854328,1000,110.176486
11942.995374,1000,112.559167
12029.866048,1000,115.274599
11827.55392,1000,117.632415
12297.190175,1000,120.338773
11194.135003,1000,122.673688
11665.530886,1000,125.431267
11361.643559,1000,127.785497
11033.115629,1000,130.780119
12038.940536,1000,133.632507
