#{"t_start": 1787128918.5087333, "env_id": "None"}
r,l,t
188.957597,1000,9.791864
196.961962,1000,17.856089
184.923525,1000,29.228393
193.0619,1000,38.059116
201.29616,1000,44.154208
184.596752,1000,49.608738
191.567932,1000,55.858869
193.021225,1000,61.414112
206.785395,1000,68.011382
180.604283,1000,74.609581
201.61032,1000,80.795647
203.541483,1000,86.373427
199.210132,1000,92.674689
198.704984,1000,98.494208
191.652305,1000,106.225553
190.557233,1000,111.770148
190.892665,1000,119.588074
200.809759,1000,124.985812
185.183699,1000,131.388657
205.994124,1000,136.674453
196.606424,1000,142.894286
195.388064,1000,148.359938
202.328742,1000,154.590567
202.971231,1000,160.212214
199.14539,1000,166.641081
211.175685,1000,172.144477
213.353908,1000,179.447994
205.251939,1000,185.568293
197.637029,1000,193.562001
199.304811,1000,199.607617
204.247734,1000,205.724211
194.092383,1000,211.385604
196.511997,1000,217.754925
207.884754,1000,223.166471
207.747128,1000,229.237792
208.41974,1000,234.793869
200.798966,1000,240.875112
210.729229,1000,246.719948
211.790508,1000,253.150868
211.232012,1000,258.795142
214.505887,1000,265.455233
213.460918,1000,271.448836
215.374054,1000,276.96322
220.006978,1000,283.199601
213.860157,1000,288.53799
222.431164,1000,295.327333
202.517957,1000,302.017429
205.482208,1000,312.200107
202.202666,1000,321.755426
200.355608,1000,332.168513
216.963035,1000,342.72075
