#{"t_start": 1787216545.7819307, "env_id": "None"}
r,l,t
130.042323,1000,5.905874
127.061945,1000,11.206576
115.193832,1000,17.819229
122.484782,1000,23.534308
134.293062,1000,30.335669
114.384603,1000,36.65907
125.821541,1000,42.770382
124.143209,1000,48.044896
140.951066,1000,55.522418
118.295464,1000,61.089657
140.220254,1000,67.40163
140.621838,1000,72.897808
138.959064,1000,79.134976
135.619648,1000,85.094137
133.37541,1000,91.149711
132.468668,1000,96.532113
134.045077,1000,102.659489
140.879034,1000,108.119615
129.743282,1000,114.328303
144.238847,1000,119.49204
139.773569,1000,125.653504
129.746765,1000,131.160071
138.707067,1000,137.390959
146.805217,1000,2050.558474
135.965748,1000,2066.891919
