#{"t_start": 1787250818.3977997, "env_id": "None"}
r,l,t
976.154724,1000,84.000118
976.275982,1000,167.621572
975.416105,1000,251.773903
975.874515,1000,337.556937
974.911067,1000,421.635201
974.853966,1000,504.400209
974.890061,1000,587.091643
976.152733,1000,670.087268
976.110561,1000,754.531289
975.098848,1000,856.848357
974.583566,1000,948.149903
976.99501,1000,1028.922476
977.778363,1000,1129.607223
975.892444,1000,1242.394061
975.569974,1000,1341.946953
977.312866,1000,1428.896246
976.082477,1000,1517.765177
975.253503,1000,1604.404928
976.449645,1000,1692.251711
975.944216,1000,1779.189269
975.772451,1000,1868.80704
976.659873,1000,1956.305912
975.816863,1000,2046.357909
975.93034,1000,2135.778576
975.904914,1000,2221.964317
976.764258,1000,2308.172452
976.90252,1000,2396.887038
975.122079,1000,2484.503943
974.449353,1000,2574.108973
974.692263,1000,2660.94366
974.999364,1000,2749.265524
977.217254,1000,2838.025498
975.897855,1000,2929.946688
976.145807,1000,3018.479247
